Seq. No.,Code,Title,,,
91,112910,Apiculture,,,
92,11292,Horses and Other Equine Production,,,
93,112920,Horses and Other Equine Production,,,
94,11293,Fur-Bearing Animal and Rabbit Production,,,
95,112930,Fur-Bearing Animal and Rabbit Production,,,
96,11299,All Other Animal Production,,,
97,112990,All Other Animal Production ,,,
98,113,Forestry and Logging,,,
99,1131,Timber Tract Operations,,,
100,11311,Timber Tract Operations,,,
101,113110,Timber Tract Operations,,,
102,1132,Forest Nurseries and Gathering of Forest Products,,,
103,11321,Forest Nurseries and Gathering of Forest Products,,,
104,113210,Forest Nurseries and Gathering of Forest Products ,,,
105,1133,Logging,,,
106,11331,Logging,,,
107,113310,Logging ,,,
108,114,"Fishing, Hunting and Trapping",,,
109,1141,Fishing,,,
110,11411,Fishing,,,
111,114111,Finfish Fishing ,,,
112,114112,Shellfish Fishing ,,,
113,114119,Other Marine Fishing ,,,
114,1142,Hunting and Trapping,,,
115,11421,Hunting and Trapping,,,
116,114210,Hunting and Trapping,,,
117,115,Support Activities for Agriculture and Forestry,,,
118,1151,Support Activities for Crop Production,,,
119,11511,Support Activities for Crop Production,,,
120,115111,Cotton Ginning ,,,
121,115112,"Soil Preparation, Planting, and Cultivating ",,,
122,115113,"Crop Harvesting, Primarily by Machine ",,,
123,115114,Postharvest Crop Activities (except Cotton Ginning) ,,,
124,115115,Farm Labor Contractors and Crew Leaders ,,,
125,115116,Farm Management Services ,,,
126,1152,Support Activities for Animal Production,,,
127,11521,Support Activities for Animal Production,,,
128,115210,Support Activities for Animal Production,,,
129,1153,Support Activities for Forestry,,,
130,11531,Support Activities for Forestry,,,
131,115310,Support Activities for Forestry,,,
132,21,"Mining, Quarrying, and Oil and Gas Extraction",,,
133,211,Oil and Gas Extraction,,,
134,2111,Oil and Gas Extraction,,,
135,21112,Crude Petroleum Extraction ,,,
136,211120,Crude Petroleum Extraction ,,,
137,21113,Natural Gas Extraction ,,,
138,211130,Natural Gas Extraction ,,,
139,212,Mining (except Oil and Gas),,,
140,2121,Coal Mining,,,
141,21211,Coal Mining,,,
142,212111,Bituminous Coal and Lignite Surface Mining ,,,
143,212112,Bituminous Coal Underground Mining ,,,
144,212113,Anthracite Mining ,,,
145,2122,Metal Ore Mining,,,
146,21221,Iron Ore Mining,,,
147,212210,Iron Ore Mining,,,
148,21222,Gold Ore and Silver Ore Mining,,,
149,212221,Gold Ore Mining ,,,
150,212222,Silver Ore Mining ,,,
151,21223,"Copper, Nickel, Lead, and Zinc Mining",,,
152,212230,"Copper, Nickel, Lead, and Zinc Mining ",,,
153,21229,Other Metal Ore Mining,,,
154,212291,Uranium-Radium-Vanadium Ore Mining ,,,
155,212299,All Other Metal Ore Mining ,,,
156,2123,Nonmetallic Mineral Mining and Quarrying,,,
157,21231,Stone Mining and Quarrying,,,
158,212311,Dimension Stone Mining and Quarrying ,,,
159,212312,Crushed and Broken Limestone Mining and Quarrying ,,,
160,212313,Crushed and Broken Granite Mining and Quarrying ,,,
161,212319,Other Crushed and Broken Stone Mining and Quarrying ,,,
162,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",,,
163,212321,Construction Sand and Gravel Mining ,,,
164,212322,Industrial Sand Mining ,,,
165,212324,Kaolin and Ball Clay Mining ,,,
166,212325,Clay and Ceramic and Refractory Minerals Mining ,,,
167,21239,Other Nonmetallic Mineral Mining and Quarrying,,,
168,212391,"Potash, Soda, and Borate Mineral Mining ",,,
169,212392,Phosphate Rock Mining ,,,
170,212393,Other Chemical and Fertilizer Mineral Mining ,,,
171,212399,All Other Nonmetallic Mineral Mining ,,,
172,213,Support Activities for Mining,,,
173,2131,Support Activities for Mining,,,
174,21311,Support Activities for Mining,,,
175,213111,Drilling Oil and Gas Wells,,,
176,213112,Support Activities for Oil and Gas Operations ,,,
177,213113,Support Activities for Coal Mining ,,,
178,213114,Support Activities for Metal Mining ,,,
179,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,,,
180,22,Utilities,,,
181,221,Utilities ,,,
182,2211,"Electric Power Generation, Transmission and Distribution",,,
183,22111,Electric Power Generation ,,,
184,221111,Hydroelectric Power Generation ,,,
185,221112,Fossil Fuel Electric Power Generation ,,,
186,221113,Nuclear Electric Power Generation ,,,
187,221114,Solar Electric Power Generation ,,,
188,221115,Wind Electric Power Generation ,,,
189,221116,Geothermal Electric Power Generation ,,,
190,221117,Biomass Electric Power Generation ,,,
191,221118,Other Electric Power Generation ,,,
192,22112,"Electric Power Transmission, Control, and Distribution ",,,
193,221121,Electric Bulk Power Transmission and Control ,,,
194,221122,Electric Power Distribution ,,,
195,2212,Natural Gas Distribution ,,,
196,22121,Natural Gas Distribution ,,,
197,221210,Natural Gas Distribution ,,,
198,2213,"Water, Sewage and Other Systems ",,,
199,22131,Water Supply and Irrigation Systems ,,,
200,221310,Water Supply and Irrigation Systems ,,,
201,22132,Sewage Treatment Facilities ,,,
202,221320,Sewage Treatment Facilities ,,,
203,22133,Steam and Air-Conditioning Supply ,,,
204,221330,Steam and Air-Conditioning Supply ,,,
205,23,Construction,,,
206,236,Construction of Buildings,,,
207,2361,Residential Building Construction,,,
208,23611,Residential Building Construction,,,
209,236115,New Single-Family Housing Construction (except For-Sale Builders) ,,,
210,236116,New Multifamily Housing Construction (except For-Sale Builders) ,,,
211,236117,New Housing For-Sale Builders ,,,
212,236118,Residential Remodelers ,,,
213,2362,Nonresidential Building Construction,,,
214,23621,Industrial Building Construction,,,
215,236210,Industrial Building Construction ,,,
216,23622,Commercial and Institutional Building Construction,,,
217,236220,Commercial and Institutional Building Construction ,,,
218,237,Heavy and Civil Engineering Construction,,,
219,2371,Utility System Construction,,,
220,23711,Water and Sewer Line and Related Structures Construction,,,
221,237110,Water and Sewer Line and Related Structures Construction ,,,
222,23712,Oil and Gas Pipeline and Related Structures Construction,,,
223,237120,Oil and Gas Pipeline and Related Structures Construction ,,,
224,23713,Power and Communication Line and Related Structures Construction,,,
225,237130,Power and Communication Line and Related Structures Construction ,,,
226,2372,Land Subdivision,,,
227,23721,Land Subdivision,,,
228,237210,Land Subdivision ,,,
229,2373,"Highway, Street, and Bridge Construction",,,
230,23731,"Highway, Street, and Bridge Construction",,,
231,237310,"Highway, Street, and Bridge Construction ",,,
232,2379,Other Heavy and Civil Engineering Construction,,,
233,23799,Other Heavy and Civil Engineering Construction,,,
234,237990,Other Heavy and Civil Engineering Construction ,,,
235,238,Specialty Trade Contractors,,,
236,2381,"Foundation, Structure, and Building Exterior Contractors",,,
237,23811,Poured Concrete Foundation and Structure Contractors ,,,
238,238110,Poured Concrete Foundation and Structure Contractors ,,,
239,23812,Structural Steel and Precast Concrete Contractors ,,,
240,238120,Structural Steel and Precast Concrete Contractors ,,,
241,23813,Framing Contractors ,,,
242,238130,Framing Contractors ,,,
243,23814,Masonry Contractors ,,,
244,238140,Masonry Contractors ,,,
245,23815,Glass and Glazing Contractors ,,,
246,238150,Glass and Glazing Contractors ,,,
247,23816,Roofing Contractors ,,,
248,238160,Roofing Contractors ,,,
249,23817,Siding Contractors ,,,
250,238170,Siding Contractors ,,,
251,23819,"Other Foundation, Structure, and Building Exterior Contractors ",,,
252,238190,"Other Foundation, Structure, and Building Exterior Contractors ",,,
253,2382,Building Equipment Contractors,,,
254,23821,Electrical Contractors and Other Wiring Installation Contractors,,,
255,238210,Electrical Contractors and Other Wiring Installation Contractors,,,
256,23822,"Plumbing, Heating, and Air-Conditioning Contractors",,,
257,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",,,
258,23829,Other Building Equipment Contractors,,,
259,238290,Other Building Equipment Contractors ,,,
260,2383,Building Finishing Contractors,,,
261,23831,Drywall and Insulation Contractors,,,
262,238310,Drywall and Insulation Contractors ,,,
263,23832,Painting and Wall Covering Contractors,,,
264,238320,Painting and Wall Covering Contractors,,,
265,23833,Flooring Contractors,,,
266,238330,Flooring Contractors,,,
267,23834,Tile and Terrazzo Contractors,,,
268,238340,Tile and Terrazzo Contractors,,,
269,23835,Finish Carpentry Contractors,,,
270,238350,Finish Carpentry Contractors,,,
271,23839,Other Building Finishing Contractors,,,
272,238390,Other Building Finishing Contractors,,,
273,2389,Other Specialty Trade Contractors,,,
274,23891,Site Preparation Contractors,,,
275,238910,Site Preparation Contractors,,,
276,23899,All Other Specialty Trade Contractors,,,
277,238990,All Other Specialty Trade Contractors,,,
278,31-33,Manufacturing,,,
279,311,Food Manufacturing,,,
280,3111,Animal Food Manufacturing,,,
281,31111,Animal Food Manufacturing,,,
282,311111,Dog and Cat Food Manufacturing ,,,
283,311119,Other Animal Food Manufacturing ,,,
284,3112,Grain and Oilseed Milling,,,
285,31121,Flour Milling and Malt Manufacturing,,,
286,311211,Flour Milling ,,,
287,311212,Rice Milling ,,,
288,311213,Malt Manufacturing ,,,
289,31122,Starch and Vegetable Fats and Oils Manufacturing,,,
290,311221,Wet Corn Milling ,,,
291,311224,Soybean and Other Oilseed Processing ,,,
292,311225,Fats and Oils Refining and Blending ,,,
293,31123,Breakfast Cereal Manufacturing,,,
294,311230,Breakfast Cereal Manufacturing,,,
295,3113,Sugar and Confectionery Product Manufacturing,,,
296,31131,Sugar Manufacturing,,,
297,311313,Beet Sugar Manufacturing ,,,
298,311314,Cane Sugar Manufacturing ,,,
299,31134,Nonchocolate Confectionery Manufacturing,,,
300,311340,Nonchocolate Confectionery Manufacturing,,,
301,31135,Chocolate and Confectionery Manufacturing,,,
302,311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,,,
303,311352,Confectionery Manufacturing from Purchased Chocolate ,,,
304,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,,,
305,31141,Frozen Food Manufacturing,,,
306,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",,,
307,311412,Frozen Specialty Food Manufacturing ,,,
308,31142,"Fruit and Vegetable Canning, Pickling, and Drying",,,
309,311421,Fruit and Vegetable Canning ,,,
310,311422,Specialty Canning ,,,
311,311423,Dried and Dehydrated Food Manufacturing ,,,
312,3115,Dairy Product Manufacturing,,,
313,31151,Dairy Product (except Frozen) Manufacturing,,,
314,311511,Fluid Milk Manufacturing ,,,
315,311512,Creamery Butter Manufacturing ,,,
316,311513,Cheese Manufacturing ,,,
317,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",,,
318,31152,Ice Cream and Frozen Dessert Manufacturing,,,
319,311520,Ice Cream and Frozen Dessert Manufacturing,,,
320,3116,Animal Slaughtering and Processing,,,
321,31161,Animal Slaughtering and Processing,,,
322,311611,Animal (except Poultry) Slaughtering ,,,
323,311612,Meat Processed from Carcasses ,,,
324,311613,Rendering and Meat Byproduct Processing ,,,
325,311615,Poultry Processing ,,,
326,3117,Seafood Product Preparation and Packaging,,,
327,31171,Seafood Product Preparation and Packaging,,,
328,311710,Seafood Product Preparation and Packaging,,,
329,3118,Bakeries and Tortilla Manufacturing,,,
330,31181,Bread and Bakery Product Manufacturing,,,
331,311811,Retail Bakeries ,,,
332,311812,Commercial Bakeries ,,,
333,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",,,
334,31182,"Cookie, Cracker, and Pasta Manufacturing",,,
335,311821,Cookie and Cracker Manufacturing ,,,
336,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",,,
337,31183,Tortilla Manufacturing,,,
338,311830,Tortilla Manufacturing,,,
339,3119,Other Food Manufacturing,,,
340,31191,Snack Food Manufacturing,,,
341,311911,Roasted Nuts and Peanut Butter Manufacturing ,,,
342,311919,Other Snack Food Manufacturing ,,,
343,31192,Coffee and Tea Manufacturing,,,
344,311920,Coffee and Tea Manufacturing ,,,
345,31193,Flavoring Syrup and Concentrate Manufacturing,,,
346,311930,Flavoring Syrup and Concentrate Manufacturing,,,
347,31194,Seasoning and Dressing Manufacturing,,,
348,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",,,
349,311942,Spice and Extract Manufacturing ,,,
350,31199,All Other Food Manufacturing,,,
351,311991,Perishable Prepared Food Manufacturing ,,,
352,311999,All Other Miscellaneous Food Manufacturing ,,,
353,312,Beverage and Tobacco Product Manufacturing,,,
354,3121,Beverage Manufacturing,,,
355,31211,Soft Drink and Ice Manufacturing,,,
356,312111,Soft Drink Manufacturing ,,,
357,312112,Bottled Water Manufacturing ,,,
358,312113,Ice Manufacturing ,,,
359,31212,Breweries,,,
360,312120,Breweries,,,
361,31213,Wineries,,,
362,312130,Wineries ,,,
363,31214,Distilleries,,,
364,312140,Distilleries ,,,
365,3122,Tobacco Manufacturing,,,
366,31223,Tobacco Manufacturing,,,
367,312230,Tobacco Manufacturing ,,,
368,313,Textile Mills,,,
369,3131,"Fiber, Yarn, and Thread Mills",,,
370,31311,"Fiber, Yarn, and Thread Mills",,,
371,313110,"Fiber, Yarn, and Thread Mills ",,,
372,3132,Fabric Mills,,,
373,31321,Broadwoven Fabric Mills,,,
374,313210,Broadwoven Fabric Mills,,,
375,31322,Narrow Fabric Mills and Schiffli Machine Embroidery,,,
376,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,,,
377,31323,Nonwoven Fabric Mills,,,
378,313230,Nonwoven Fabric Mills,,,
379,31324,Knit Fabric Mills,,,
380,313240,Knit Fabric Mills,,,
381,3133,Textile and Fabric Finishing and Fabric Coating Mills,,,
382,31331,Textile and Fabric Finishing Mills,,,
383,313310,Textile and Fabric Finishing Mills ,,,
384,31332,Fabric Coating Mills,,,
385,313320,Fabric Coating Mills,,,
386,314,Textile Product Mills,,,
387,3141,Textile Furnishings Mills,,,
388,31411,Carpet and Rug Mills,,,
389,314110,Carpet and Rug Mills,,,
390,31412,Curtain and Linen Mills,,,
391,314120,Curtain and Linen Mills,,,
392,3149,Other Textile Product Mills,,,
393,31491,Textile Bag and Canvas Mills,,,
394,314910,Textile Bag and Canvas Mills ,,,
395,31499,All Other Textile Product Mills,,,
396,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",,,
397,314999,All Other Miscellaneous Textile Product Mills ,,,
398,315,Apparel Manufacturing,,,
399,3151,Apparel Knitting Mills,,,
400,31511,Hosiery and Sock Mills,,,
401,315110,Hosiery and Sock Mills,,,
402,31519,Other Apparel Knitting Mills,,,
403,315190,Other Apparel Knitting Mills ,,,
404,3152,Cut and Sew Apparel Manufacturing,,,
405,31521,Cut and Sew Apparel Contractors ,,,
406,315210,Cut and Sew Apparel Contractors ,,,
407,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing ,,,
408,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing ,,,
409,31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",,,
410,315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ",,,
411,31528,Other Cut and Sew Apparel Manufacturing ,,,
412,315280,Other Cut and Sew Apparel Manufacturing ,,,
413,3159,Apparel Accessories and Other Apparel Manufacturing,,,
414,31599,Apparel Accessories and Other Apparel Manufacturing,,,
415,315990,Apparel Accessories and Other Apparel Manufacturing ,,,
416,316,Leather and Allied Product Manufacturing,,,
417,3161,Leather and Hide Tanning and Finishing,,,
418,31611,Leather and Hide Tanning and Finishing,,,
419,316110,Leather and Hide Tanning and Finishing,,,
420,3162,Footwear Manufacturing,,,
421,31621,Footwear Manufacturing,,,
422,316210,Footwear Manufacturing ,,,
423,3169,Other Leather and Allied Product Manufacturing,,,
424,31699,Other Leather and Allied Product Manufacturing,,,
425,316992,Women's Handbag and Purse Manufacturing ,,,
426,316998,All Other Leather Good and Allied Product Manufacturing ,,,
427,321,Wood Product Manufacturing,,,
428,3211,Sawmills and Wood Preservation,,,
429,32111,Sawmills and Wood Preservation,,,
430,321113,Sawmills ,,,
431,321114,Wood Preservation ,,,
432,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",,,
433,32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing",,,
434,321211,Hardwood Veneer and Plywood Manufacturing ,,,
435,321212,Softwood Veneer and Plywood Manufacturing ,,,
436,321213,Engineered Wood Member (except Truss) Manufacturing ,,,
437,321214,Truss Manufacturing ,,,
438,321219,Reconstituted Wood Product Manufacturing ,,,
439,3219,Other Wood Product Manufacturing,,,
440,32191,Millwork,,,
441,321911,Wood Window and Door Manufacturing ,,,
442,321912,"Cut Stock, Resawing Lumber, and Planing ",,,
443,321918,Other Millwork (including Flooring) ,,,
444,32192,Wood Container and Pallet Manufacturing,,,
445,321920,Wood Container and Pallet Manufacturing,,,
446,32199,All Other Wood Product Manufacturing,,,
447,321991,Manufactured Home (Mobile Home) Manufacturing ,,,
448,321992,Prefabricated Wood Building Manufacturing ,,,
449,321999,All Other Miscellaneous Wood Product Manufacturing ,,,
450,322,Paper Manufacturing,,,
451,3221,"Pulp, Paper, and Paperboard Mills",,,
452,32211,Pulp Mills,,,
453,322110,Pulp Mills ,,,
454,32212,Paper Mills,,,
455,322121,Paper (except Newsprint) Mills ,,,
456,322122,Newsprint Mills ,,,
457,32213,Paperboard Mills,,,
458,322130,Paperboard Mills ,,,
459,3222,Converted Paper Product Manufacturing,,,
460,32221,Paperboard Container Manufacturing,,,
461,322211,Corrugated and Solid Fiber Box Manufacturing ,,,
462,322212,Folding Paperboard Box Manufacturing ,,,
463,322219,Other Paperboard Container Manufacturing ,,,
464,32222,Paper Bag and Coated and Treated Paper Manufacturing,,,
465,322220,Paper Bag and Coated and Treated Paper Manufacturing,,,
466,32223,Stationery Product Manufacturing,,,
467,322230,Stationery Product Manufacturing,,,
468,32229,Other Converted Paper Product Manufacturing,,,
469,322291,Sanitary Paper Product Manufacturing ,,,
470,322299,All Other Converted Paper Product Manufacturing ,,,
471,323,Printing and Related Support Activities,,,
472,3231,Printing and Related Support Activities,,,
473,32311,Printing,,,
474,323111,Commercial Printing (except Screen and Books) ,,,
475,323113,Commercial Screen Printing ,,,
476,323117,Books Printing ,,,
477,32312,Support Activities for Printing,,,
478,323120,Support Activities for Printing,,,
479,324,Petroleum and Coal Products Manufacturing,,,
480,3241,Petroleum and Coal Products Manufacturing,,,
481,32411,Petroleum Refineries,,,
482,324110,Petroleum Refineries,,,
483,32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing",,,
484,324121,Asphalt Paving Mixture and Block Manufacturing ,,,
485,324122,Asphalt Shingle and Coating Materials Manufacturing ,,,
486,32419,Other Petroleum and Coal Products Manufacturing,,,
487,324191,Petroleum Lubricating Oil and Grease Manufacturing ,,,
488,324199,All Other Petroleum and Coal Products Manufacturing ,,,
489,325,Chemical Manufacturing,,,
490,3251,Basic Chemical Manufacturing,,,
491,32511,Petrochemical Manufacturing,,,
492,325110,Petrochemical Manufacturing,,,
493,32512,Industrial Gas Manufacturing,,,
494,325120,Industrial Gas Manufacturing,,,
495,32513,Synthetic Dye and Pigment Manufacturing,,,
496,325130,Synthetic Dye and Pigment Manufacturing,,,
497,32518,Other Basic Inorganic Chemical Manufacturing,,,
498,325180,Other Basic Inorganic Chemical Manufacturing ,,,
499,32519,Other Basic Organic Chemical Manufacturing,,,
500,325193,Ethyl Alcohol Manufacturing ,,,
501,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",,,
502,325199,All Other Basic Organic Chemical Manufacturing ,,,
503,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",,,
504,32521,Resin and Synthetic Rubber Manufacturing,,,
505,325211,Plastics Material and Resin Manufacturing ,,,
506,325212,Synthetic Rubber Manufacturing ,,,
507,32522,Artificial and Synthetic Fibers and Filaments Manufacturing,,,
508,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,,,
509,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",,,
510,32531,Fertilizer Manufacturing,,,
511,325311,Nitrogenous Fertilizer Manufacturing ,,,
512,325312,Phosphatic Fertilizer Manufacturing ,,,
513,325314,Fertilizer (Mixing Only) Manufacturing ,,,
514,32532,Pesticide and Other Agricultural Chemical Manufacturing,,,
515,325320,Pesticide and Other Agricultural Chemical Manufacturing,,,
516,3254,Pharmaceutical and Medicine Manufacturing,,,
517,32541,Pharmaceutical and Medicine Manufacturing,,,
518,325411,Medicinal and Botanical Manufacturing ,,,
519,325412,Pharmaceutical Preparation Manufacturing ,,,
520,325413,In-Vitro Diagnostic Substance Manufacturing ,,,
521,325414,Biological Product (except Diagnostic) Manufacturing ,,,
522,3255,"Paint, Coating, and Adhesive Manufacturing",,,
523,32551,Paint and Coating Manufacturing,,,
524,325510,Paint and Coating Manufacturing,,,
525,32552,Adhesive Manufacturing,,,
526,325520,Adhesive Manufacturing,,,
527,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",,,
528,32561,Soap and Cleaning Compound Manufacturing,,,
529,325611,Soap and Other Detergent Manufacturing ,,,
530,325612,Polish and Other Sanitation Good Manufacturing ,,,
531,325613,Surface Active Agent Manufacturing ,,,
532,32562,Toilet Preparation Manufacturing,,,
533,325620,Toilet Preparation Manufacturing,,,
534,3259,Other Chemical Product and Preparation Manufacturing,,,
535,32591,Printing Ink Manufacturing,,,
536,325910,Printing Ink Manufacturing,,,
537,32592,Explosives Manufacturing,,,
538,325920,Explosives Manufacturing,,,
539,32599,All Other Chemical Product and Preparation Manufacturing,,,
540,325991,Custom Compounding of Purchased Resins ,,,
541,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing ",,,
542,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,,,
543,326,Plastics and Rubber Products Manufacturing,,,
544,3261,Plastics Product Manufacturing,,,
545,32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,,,
546,326111,Plastics Bag and Pouch Manufacturing ,,,
547,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,,,
548,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,,,
549,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",,,
550,326121,Unlaminated Plastics Profile Shape Manufacturing ,,,
551,326122,Plastics Pipe and Pipe Fitting Manufacturing ,,,
552,32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,,
553,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,,
554,32614,Polystyrene Foam Product Manufacturing,,,
555,326140,Polystyrene Foam Product Manufacturing,,,
556,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,,
557,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,,
558,32616,Plastics Bottle Manufacturing,,,
559,326160,Plastics Bottle Manufacturing,,,
560,32619,Other Plastics Product Manufacturing,,,
561,326191,Plastics Plumbing Fixture Manufacturing ,,,
562,326199,All Other Plastics Product Manufacturing ,,,
563,3262,Rubber Product Manufacturing,,,
564,32621,Tire Manufacturing,,,
565,326211,Tire Manufacturing (except Retreading) ,,,
566,326212,Tire Retreading ,,,
567,32622,Rubber and Plastics Hoses and Belting Manufacturing,,,
568,326220,Rubber and Plastics Hoses and Belting Manufacturing,,,
569,32629,Other Rubber Product Manufacturing,,,
570,326291,Rubber Product Manufacturing for Mechanical Use ,,,
571,326299,All Other Rubber Product Manufacturing ,,,
572,327,Nonmetallic Mineral Product Manufacturing,,,
573,3271,Clay Product and Refractory Manufacturing,,,
574,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",,,
575,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",,,
576,32712,Clay Building Material and Refractories Manufacturing,,,
577,327120,Clay Building Material and Refractories Manufacturing ,,,
578,3272,Glass and Glass Product Manufacturing,,,
579,32721,Glass and Glass Product Manufacturing,,,
580,327211,Flat Glass Manufacturing ,,,
581,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,,,
582,327213,Glass Container Manufacturing ,,,
583,327215,Glass Product Manufacturing Made of Purchased Glass ,,,
584,3273,Cement and Concrete Product Manufacturing,,,
585,32731,Cement Manufacturing,,,
586,327310,Cement Manufacturing,,,
587,32732,Ready-Mix Concrete Manufacturing,,,
588,327320,Ready-Mix Concrete Manufacturing,,,
589,32733,"Concrete Pipe, Brick, and Block Manufacturing",,,
590,327331,Concrete Block and Brick Manufacturing ,,,
